country	year	gov_right	gov_cent	gov_left	govparty	gov_new	gov_gap	gov_type	gov_chan	vturn	social1	social2	social3	social4	leftsoc1	leftsoc2	leftsoc3	comm1	comm2	comm3	comm4	agrarian	conserv1	conserv2	conserv3	conserv4	conserv5	relig1	relig2	relig3	relig4	relig5	relig6	relig7	liberal1	liberal2	liberal3	liberal4	liberal5	liberal6	ultrar1	ultrar2	protest1	protest2	protest3	protest4	green1	green2	green3	ethnic1	ethnic2	ethnic3	ethnic4	leftall	centall	rightall	others	ssocial1	ssocial2	ssocial3	ssocial4	sleftso1	sleftso2	sleftso3	scomm1	scomm2	scomm3	scomm4	sagraria	sconser1	sconser2	sconser3	sconser4	sconser5	srelig1	srelig2	srelig3	srelig4	srelig5	srelig6	srelig7	slibera1	slibera2	slibera3	slibera4	slibera5	slibera6	sultrar1	sultrar2	sprotes1	sprotes2	sprotes3	sprotes4	sgreen1	sgreen2	sgreen3	sethnic1	sethnic2	sethnic3	sethnic4	sleftal	scental	srightal	sothers	womenpar	rae_ele	rae_leg	effpar_ele	effpar_leg	dis_abso	dis_rel	dis_gall	lfirst1	lfirst2	lsec1	lsec2	leff1	leff2	lmin1	lmin2	lexe1	lexe2	ldis1	ldis2	lint1	lint2	lfed1	lfed2	lbic1	lbic2	lrid1	lrid2	ljud1	ljud2	lbank1	lbank2	lfirstp	lfirstpi	lfirstpb	instcons	plural	structur	integr	fed	pres	singmemd	strbic	referen	judrev	kaopen	openc	outlays	receipts	gdpgr	debt	deficit	adjustdef	interest	ttl_labf	civ_labf	emp_civ	labfopar	empratio	emp_ag	emp_ind	emp_serv	emp_un	unemp	st_unemp	nld	wi	wdlost	strike	grossu	netu	ud	sstran	socexp_t_pmp	socexp_c_pmp	socexp_k_pmp	oldage_pmp	survivor_pmp	incapben_pmp	health_pmp	family_pmp	almp_pmp	unemp_pmp	housing_pmp	othsocx_pmp	fallow_pmp	mpleave_pmp	othfam_c_pmp	daycare_pmp	othfam_k_pmp	servadmi_pmp	training_pmp	jobrot_pmp	incent_pmp	disabled_pmp	jobcrea_pmp	startup_pmp	compen_pmp	earretir_pmp	ilo_tot	pop	pop15_64	pop65	elderly
Australia	1960.00000	35.96180	0.00000	-35.96180	-1.46000	-0.20000	-0.08000	0.30000	-0.52000	0.51600	-0.41800	5.88600	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.86200	0.58800	-0.76200	-0.12000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-3.55800	-0.14200	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-1.35600	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-0.98000	-8.47800	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	2.54600	6.60600	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-0.67400	-8.52200	-0.05580	2.01800	-0.02500	0.12120	-0.14940	-0.04100	1.16980	-0.11440	-0.00000	-0.01040	0.00000	0.03120	0.00000	-3.53600	-0.00000	1.08160	0.00000	-0.92560	-0.00000	0.10400	-0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-0.00000	-0.00000	NaN	NaN	NaN	0.00000	0.00000	0.00000	-0.39500	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	NaN	-5.22100	NaN	-8.47260	0.99792	NaN	1.70320	NaN	NaN	-3327.53840	-3315.70540	-2931.06220	NaN	NaN	40.85300	-308.56720	-2652.29520	-384.58360	-4.05000	NaN	-238.71429	-96.35286	-706.00510	-57.12097	-714.87568	-496.02600	11.14600	-1.42335	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-16.58000	-5536.51920	-4064.89760	-829.85900	-1.92400
Australia	1961.00000	35.96180	0.00000	-35.96180	-1.46000	-0.20000	-0.08000	0.30000	0.48000	0.31600	4.68200	5.68600	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.06200	-3.01200	-0.76200	-0.12000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-3.55800	-0.14200	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-1.35600	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-1.48000	3.82200	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.84600	-3.99400	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-0.67400	-8.52200	-1.95580	0.87800	-0.18500	0.05120	-0.22940	-0.06100	-2.77020	-0.11440	-0.00000	-0.01040	0.00000	0.03120	0.00000	-3.53600	-0.00000	1.08160	0.00000	-0.92560	-0.00000	0.10400	-0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-0.00000	-0.00000	NaN	NaN	NaN	0.00000	0.00000	0.00000	-0.39500	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	NaN	-6.27100	NaN	-8.89260	-3.90208	NaN	1.58320	NaN	NaN	-3256.53840	-3244.70540	-2919.06220	NaN	NaN	38.85300	-354.56720	-2592.29520	-325.58360	-2.68000	NaN	-568.71429	-399.27286	-824.30510	-86.37757	-730.47568	-511.62600	10.44600	-0.82335	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-16.58000	-5303.31920	-3932.79760	-810.15900	-1.92400
Australia	1962.00000	35.96180	0.00000	-35.96180	-1.46000	-0.20000	-0.08000	0.30000	-0.52000	0.31600	4.68200	5.68600	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.06200	-3.01200	-0.76200	-0.12000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-3.55800	-0.14200	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-1.35600	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-1.48000	3.82200	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.84600	-3.99400	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-0.67400	-8.52200	-1.95580	0.87800	-0.18500	0.05120	-0.22940	-0.06100	-2.77020	-0.11440	-0.00000	-0.01040	0.00000	0.03120	0.00000	-3.53600	-0.00000	1.08160	0.00000	-0.92560	-0.00000	0.10400	-0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-0.00000	-0.00000	NaN	NaN	NaN	0.00000	0.00000	0.00000	-0.39500	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	NaN	-6.13100	-9.37042	-8.40260	2.59792	NaN	-0.22680	NaN	NaN	-3160.53840	-3148.70540	-2819.06220	NaN	NaN	37.85300	-301.56720	-2544.29520	-329.58360	-2.84000	NaN	-200.71429	-345.78286	-922.35510	-113.13107	-681.27568	-462.42600	10.44600	-0.92335	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-16.58000	-5111.01920	-3789.89760	-791.15900	-1.92400
Australia	1963.00000	35.96180	0.00000	-35.96180	-1.46000	-0.20000	-0.08000	0.30000	0.48000	0.71600	2.28200	5.48600	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.46200	0.48800	-0.76200	-0.12000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-3.55800	-0.14200	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-1.35600	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-2.78000	-4.37800	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	3.34600	1.70600	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-0.67400	-8.52200	-2.23580	2.97800	-0.20500	0.19120	-0.38940	-0.12100	-0.83020	-0.11440	-0.00000	-0.01040	0.00000	0.03120	0.00000	-3.53600	-0.00000	1.08160	0.00000	-0.92560	-0.00000	0.10400	-0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-0.00000	-0.00000	NaN	NaN	NaN	0.00000	0.00000	0.00000	-0.39500	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	NaN	-4.38100	-9.53042	-8.34260	2.39792	NaN	-0.01680	NaN	NaN	-3058.53840	-3046.70540	-2697.06220	NaN	NaN	37.85300	-257.56720	-2466.29520	-349.58360	-3.35000	NaN	-133.71429	-286.92286	-849.54510	-99.74057	-634.67568	-415.82600	10.14600	-1.02335	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-15.58000	-4904.61920	-3650.49760	-771.75900	-1.82400
Australia	1964.00000	35.96180	0.00000	-35.96180	-1.46000	-0.20000	-0.08000	0.30000	-0.52000	0.71600	2.28200	5.48600	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.46200	0.48800	-0.76200	-0.12000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-3.55800	-0.14200	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-1.35600	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-2.78000	-4.37800	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	3.34600	1.70600	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-0.67400	-8.52200	-2.23580	2.97800	-0.20500	0.19120	-0.38940	-0.12100	-0.83020	-0.11440	-0.00000	-0.01040	0.00000	0.03120	0.00000	-3.53600	-0.00000	1.08160	0.00000	-0.92560	-0.00000	0.10400	-0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-0.00000	-0.00000	NaN	NaN	NaN	0.00000	0.00000	0.00000	-0.39500	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	NaN	-5.08100	-9.66042	-7.80260	2.49792	NaN	0.80320	NaN	NaN	-2949.53840	-2937.70540	-2547.06220	-5.52457	-2.23065	44.85300	-180.56720	-2400.29520	-391.58360	-4.32000	NaN	-49.71429	-154.00286	-519.75510	-30.73867	-589.47568	-370.62600	9.14600	-1.22335	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-15.58000	-4689.91920	-3504.09760	-756.65900	-1.92400
Australia	1965.00000	35.96180	0.00000	-35.96180	-1.46000	-0.20000	-0.08000	0.30000	-0.52000	0.71600	2.28200	5.48600	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.46200	0.48800	-0.76200	-0.12000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-3.55800	-0.14200	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-1.35600	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-2.78000	-4.37800	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	3.34600	1.70600	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-0.67400	-8.52200	-2.23580	2.97800	-0.20500	0.19120	-0.38940	-0.12100	-0.83020	-0.11440	-0.00000	-0.01040	0.00000	0.03120	0.00000	-3.53600	-0.00000	1.08160	0.00000	-0.92560	-0.00000	0.10400	-0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-0.00000	-0.00000	NaN	NaN	NaN	0.00000	0.00000	0.00000	-0.39500	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	NaN	-5.46100	-7.64042	-6.54260	1.89792	NaN	-0.03680	NaN	NaN	-2802.53840	-2795.70540	-2406.06220	-4.93457	-1.69065	42.85300	-130.56720	-2307.29520	-389.58360	-4.32000	NaN	-37.71429	-224.59286	-615.24510	-57.55277	-535.37568	-316.52600	8.84600	-1.12335	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-15.58000	-4470.61920	-3346.79760	-738.45900	-1.92400
Australia	1966.00000	35.96180	0.00000	-35.96180	-1.46000	-0.20000	-0.08000	0.30000	1.48000	0.11600	-3.21800	5.38600	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.36200	3.48800	-0.76200	-0.12000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-3.55800	-0.14200	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-1.35600	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-1.08000	-12.27800	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	3.84600	8.30600	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.12600	-7.72200	0.00420	2.60800	-0.01500	0.16120	-0.17940	-0.05100	0.99980	-0.11440	-0.00000	-0.01040	0.00000	0.03120	0.00000	-3.53600	-0.00000	1.08160	0.00000	-0.92560	-0.00000	0.10400	-0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-0.00000	-0.00000	NaN	NaN	NaN	0.00000	0.00000	0.00000	-0.39500	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	NaN	-6.40100	-6.48042	-6.89260	-0.90208	NaN	-1.41680	NaN	NaN	-2570.53840	-2575.70540	-2211.06220	-3.38457	-0.62065	18.85300	-112.56720	-2106.29520	-364.58360	-3.86000	NaN	-110.71429	-304.78286	-699.03510	-82.04677	-528.97568	-310.12600	6.74600	-1.22335	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-15.58000	-4212.01920	-3167.87760	-718.48900	-1.92400
Australia	1967.00000	35.96180	0.00000	-35.96180	-1.46000	-0.20000	-0.08000	0.30000	0.48000	0.11600	-3.21800	5.38600	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.36200	3.48800	-0.76200	-0.12000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-3.55800	-0.14200	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-1.35600	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-1.08000	-12.27800	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	3.84600	8.30600	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.12600	-7.72200	0.00420	2.60800	-0.01500	0.16120	-0.17940	-0.05100	0.99980	-0.11440	-0.00000	-0.01040	0.00000	0.03120	0.00000	-3.53600	-0.00000	1.08160	0.00000	-0.92560	-0.00000	0.10400	-0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-0.00000	-0.00000	NaN	NaN	NaN	0.00000	0.00000	0.00000	-0.39500	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	NaN	-6.25100	-6.19042	-6.73260	3.19792	NaN	-1.71680	NaN	NaN	-2444.53840	-2458.70540	-2102.06220	-3.08457	-0.51065	17.85300	-77.56720	-2031.29520	-356.58360	-3.74000	-4.23581	-43.71429	-216.36286	-725.79510	-90.82477	-504.57568	-285.72600	5.94600	-1.32335	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-15.58000	-4012.43920	-3017.16760	-705.15900	-1.92400
Australia	1968.00000	35.96180	0.00000	-35.96180	-1.46000	-0.20000	-0.08000	0.30000	1.48000	0.11600	-3.21800	5.38600	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.36200	3.48800	-0.76200	-0.12000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-3.55800	-0.14200	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-1.35600	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-1.08000	-12.27800	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	3.84600	8.30600	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.12600	-7.72200	0.00420	2.60800	-0.01500	0.16120	-0.17940	-0.05100	0.99980	-0.11440	-0.00000	-0.01040	0.00000	0.03120	0.00000	-3.53600	-0.00000	1.08160	0.00000	-0.92560	-0.00000	0.10400	-0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-0.00000	-0.00000	NaN	NaN	NaN	0.00000	0.00000	0.00000	-0.39500	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	NaN	-7.92100	-6.02042	-6.02260	2.39792	NaN	-1.21680	NaN	NaN	-2323.53840	-2341.70540	-1979.06220	-2.99457	-0.34065	28.85300	-38.56720	-1958.29520	-362.58360	-3.89000	-4.29581	329.28571	20.68714	-351.65510	-20.30387	-458.27568	-239.42600	5.74600	-1.82335	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-15.58000	-3802.88920	-2853.18760	-690.74900	-2.02400
Australia	1969.00000	35.96180	0.00000	-35.96180	-1.46000	-0.20000	-0.08000	0.30000	0.48000	0.01600	3.78200	4.08600	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.16200	-1.81200	-0.76200	-0.12000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-3.55800	-0.14200	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-1.35600	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-0.28000	1.82200	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	2.94600	-4.09400	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-0.67400	-8.52200	-1.72580	2.24800	-0.16500	0.14120	-0.29940	-0.09100	-2.94020	-0.11440	-0.00000	-0.01040	0.00000	0.03120	0.00000	-3.53600	-0.00000	1.08160	0.00000	-0.92560	-0.00000	0.10400	-0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-0.00000	-0.00000	0.36000	0.11585	0.45951	0.00000	0.00000	0.00000	-0.39500	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	NaN	-6.52100	-7.49042	-5.75260	2.79792	NaN	0.65320	NaN	NaN	-2196.53840	-2216.70540	-1852.06220	-2.98457	-0.28065	3.85300	1.43280	-1846.29520	-364.58360	-3.97000	-4.29581	630.28571	585.56714	526.88490	143.96883	-417.97568	-199.12600	5.34600	-1.52335	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-13.58000	-3548.50920	-2671.63760	-678.06900	-2.02400
