company	Year	FCFF	TotalDebt	Revenues	NetCapExp	EBITDA	TaxRate	NetIncome
3I GROUP PLC	2003	-328.04372	-3	-436.6	-5.8	-309.2	0.07762	-294
3I GROUP PLC	2004	-368.13972	-74	-472.6	-6.8	-349.2	0.10022	-332
3I GROUP PLC	2005	-329.79072	-103	-445.6	-3.8	-335.2	0.03262	-338
3I GROUP PLC	2006	383.04028	34	475.4	11.2	369.8	-0.10488	380
3I GROUP PLC	2007	642.93388	146	879.4	5.2	623.8	-0.10558	584
A NOVO	2003	25.2104484	87.602	52.214	-25.394	19.778	-0.40334	-27.061094
A NOVO	2004	6.2704484	9.982	56.454	-23.534	2.368	-0.34604	-24.835624
A NOVO	2005	11.1186724	-22.988	-54.196	4.126	4.818	0.59666	17.008906
A NOVO	2006	-20.9595516	-36.818	-41.786	23.826	-19.532	-0.07424	17.828906
A NOVO	2007	-21.6400176	-37.778	-12.686	20.976	-7.432	0.22696	17.058906
AAREAL BANK AG	2003	1257.29168	4461.4	118.2	169.8	-62	0.04168	62.65018
AAREAL BANK AG	2004	1039.91408	2483.4	35.2	-28.2	68	-0.32192	13.65018
AAREAL BANK AG	2005	674.19808	659.4	-26.8	-216.2	22	0.10818	-114.96392
AAREAL BANK AG	2006	-2081.80192	-2160.6	-83.8	-67.2	-28	0.26898	-43.98662
AAREAL BANK AG	2007	-889.60192	-5443.6	-42.8	141.8	0	-0.09692	82.65018
ABACUS GROUP PLC	2003	-3.5622544	-9.508	-64.436	3.368	-0.004	-0.02666	1.82
ABACUS GROUP PLC	2004	0.2637786	3.152	-23.616	0.158	2.806	0.01624	3.81
ABACUS GROUP PLC	2005	0.2637786	3.152	-33.116	0.158	2.806	0.01624	3.81
ABACUS GROUP PLC	2006	3.8257536	19.302	45.684	-1.192	-3.654	-0.33626	-3.27
ABACUS GROUP PLC	2007	-0.7910564	-16.098	75.484	-2.492	-1.954	0.33044	-6.17
ABBEY PLC	2003	-15.2691278	0	-23.008	0.18	-4.348	0.0095	-1.264
ABBEY PLC	2004	23.9865142	0	4.682	-0.34	7.992	-0.0118	12.566
ABBEY PLC	2005	-8.4385168	0	11.542	0.04	5.432	-0.0058	9.546
ABBEY PLC	2006	37.5668062	0	9.562	-1.24	-3.118	0.0022	-9.714
ABBEY PLC	2007	-37.8456758	0	-2.778	1.36	-5.958	0.0059	-11.134
ABBOT GROUP PLC	2003	34.4830072	-235.342	-219.908	-44.37	-31.886	-0.03094	3.026
ABBOT GROUP PLC	2004	87.0546172	-251.642	-197.908	-59.9	-27.456	0.01936	3.326
ABBOT GROUP PLC	2005	64.2914292	-218.272	-232.118	-44.46	-31.996	0.00786	-1.914
ABBOT GROUP PLC	2006	-12.9511308	36.448	86.112	32.9	17.444	-0.01514	-10.124
ABBOT GROUP PLC	2007	-172.8779228	668.808	563.822	115.83	73.894	0.01886	5.686
ABC ARBITRAGE	2003	3.3545548	0.024	-13.634	-0.112	-4.688	0.00044	-3.064
ABC ARBITRAGE	2004	-4.9029542	0.034	31.156	0.008	1.222	0.04294	0.146
ABC ARBITRAGE	2005	13.6465058	0.044	15.226	0.048	-4.398	-0.03326	-2.464
ABC ARBITRAGE	2006	-4.2294192	-0.086	-24.974	0.028	-1.568	0.01234	-1.114
ABC ARBITRAGE	2007	-7.8686872	-0.016	-7.774	0.028	9.432	-0.02246	6.496
ACADOMIA	2003	-1.2244566	-0.152	-10.706	-0.622	-4.512	-0.26958	-2.4481204
ACADOMIA	2004	-0.6667956	-0.042	-10.706	-0.622	-3.722	0.02452	-1.8975184
ACADOMIA	2005	3.5783494	0.018	1.264	0.488	1.678	0.07462	1.3218796
ACADOMIA	2006	-0.8435486	0.088	7.574	0.378	3.278	0.08522	1.5118796
ACADOMIA	2007	-0.8435486	0.088	12.574	0.378	3.278	0.08522	1.5118796
ACAL PLC	2003	3.8671582	9.018	8.21	-0.074	3.944	0.01324	3.324
ACAL PLC	2004	1.3397302	1.418	4.99	-0.414	1.474	0.05744	0.644
ACAL PLC	2005	0.6371592	3.628	-3.24	-1.804	-0.246	0.07354	-1.036
ACAL PLC	2006	-0.8895488	-6.732	-6.93	1.296	-3.036	-0.06986	-4.016
ACAL PLC	2007	-4.9544988	-7.332	-3.03	0.996	-2.136	-0.07436	1.084
ACAMBIS PLC	2003	-46.0958448	4.816	-1.504	7.34	-0.336	-0.04442	2.84608
ACAMBIS PLC	2004	88.5313612	2.996	87.876	0.09	38.234	0.05428	37.73608
ACAMBIS PLC	2005	88.5313612	2.996	4.276	0.09	38.234	0.05428	37.73608
ACAMBIS PLC	2006	-56.0334388	-2.304	-40.324	-3.11	-36.666	-0.01942	-38.25432
ACAMBIS PLC	2007	-74.9334388	-8.504	-50.324	-4.41	-39.466	-0.04472	-40.06392
ACCELL GROUP	2003	9.8113072	-16.566	-78.922	0.604	-9.332	0.022	-5.798
ACCELL GROUP	2004	-3.1830848	-11.366	-48.772	4.094	-5.472	0.0132	-3.398
ACCELL GROUP	2005	-11.4444248	1.564	2.798	0.894	1.448	0.0172	0.432
ACCELL GROUP	2006	13.4030392	-6.246	30.968	1.284	4.308	-0.0182	2.952
ACCELL GROUP	2007	-8.5868368	32.614	93.928	-6.876	9.048	-0.0342	5.812
ACCOR SA	2003	-396.08186	328.4	-87.8	137.2	61.4	-0.01678	75.4
ACCOR SA	2004	-57.83526	345.4	-398.8	-60.8	-106.6	-0.00888	-84.6
ACCOR SA	2005	-231.93066	412.4	-154.8	79.2	-43.6	0.11232	-115.6
ACCOR SA	2006	368.07904	470.4	335.2	-81.8	-1.6	-0.10378	-21.6
ACCOR SA	2007	317.76874	-1556.6	306.2	-73.8	90.4	0.01712	146.4
ACEA SPA	2003	-278.4128344	-92.294	-329.314	-62.074	-209.838	-0.21912	-162.332128
ACEA SPA	2004	249.1929896	-132.454	-153.374	-45.994	-36.328	0.14548	-17.121968
ACEA SPA	2005	-67.0216594	-79.244	46.336	-16.634	43.312	-0.00562	36.458032
ACEA SPA	2006	16.6388086	-31.294	-44.004	98.916	70.632	0.04698	61.718032
ACEA SPA	2007	79.6026956	335.286	480.356	25.786	132.222	0.03228	81.278032
ACEGAS-APS SPA	2003	6.0883978	-146.786	-197.976	2.268	-30.542	-0.11956	-7.7464636
ACEGAS-APS SPA	2004	-0.7988872	12.984	-149.596	4.758	-42.162	0.01824	-5.1841456
ACEGAS-APS SPA	2005	-11.8986412	27.844	50.644	-3.522	19.368	0.04484	2.6535364
ACEGAS-APS SPA	2006	17.5639628	36.314	139.164	-10.432	30.478	0.00604	7.4735364
ACEGAS-APS SPA	2007	-10.9548322	69.644	157.764	6.928	22.858	0.05044	2.8035364
ACSM COMO SPA	2003	-0.5414352	-21.902	-32.936	0.386	-1.98	-0.12242	0.43
ACSM COMO SPA	2004	-8.8481902	1.508	-8.376	7.756	1.65	-0.13192	1.45
ACSM COMO SPA	2005	25.6260388	1.478	1.504	-1.464	3.55	-0.03052	1.05
ACSM COMO SPA	2006	-5.3602542	7.088	10.354	-4.414	-1.04	-0.08372	-0.13
ACSM COMO SPA	2007	-10.8761592	11.828	29.454	-2.264	-2.18	0.36858	-2.8
ACTA HOLDING ASA	2003	-161.0235524	48.458	-592.396	-26.116	-438.112	0.02364	-343.8954016
ACTA HOLDING ASA	2004	-219.9473224	24.828	-519.256	0.924	-290.612	0.02534	-212.8336496
ACTA HOLDING ASA	2005	-194.2325044	-38.862	-174.126	3.074	-44.552	-0.09826	7.6063504
ACTA HOLDING ASA	2006	95.3464036	-25.232	294.994	6.504	194.668	0.02364	115.4063504
ACTA HOLDING ASA	2007	479.8569756	-9.192	990.784	15.614	578.608	0.02564	433.7163504
ACTELIOS SPA	2003	-29.2313956	-28.354	-47.87	13.704	-17.23	0.0698	-4.316
